NAME,"WHAT IT DOES",FUNDING,"YEAR FOUNDED",CITY,STATE/PROVINCE,COUNTRY,FUNDING_PERCENTAGE
OpenAI,"AI model developer",11300000000,2015,"San Francisco",California,"United States",32.56
Anthropic,"AI model developer",7700000000,2020,"San Francisco",California,"United States",22.19
Databricks,"Data storage and analytics",4000000000,2013,"San Francisco",California,"United States",11.53
"Anduril Industries","Defense software and hardware",2800000000,2017,"Costa Mesa",California,"United States",8.07
"Figure AI","Autonomous humanoid robots",754000000,2022,Sunnyvale,California,"United States",2.17
"Cerebras Systems","Computer chip maker",720000000,2016,Sunnyvale,California,"United States",2.07
Insitro,"Drug discovery and development",643000000,2018,"San Francisco",California,"United States",1.85
"Scale AI","Data labeling and software",600000000,2016,"San Francisco",California,"United States",1.73
"Mistral AI","Open-source AI model research",528000000,2023,Paris,,France,1.52
Cohere,"AI model developer",445000000,2019,Toronto,Ontario,Canada,1.28
Adept,"AI model developer",415000000,2022,"San Francisco",California,"United States",1.20
"Hugging Face","Library for AI models and datasets",395000000,2016,"New York","New York","United States",1.14
Glean,"Enterprise search engine",360000000,2019,"Palo Alto",California,"United States",1.04
Notion,"Productivity software",330000000,2013,"San Francisco",California,"United States",0.95
Owkin,"Drug discovery and development",304000000,2016,"New York","New York","United States",0.88
Anyscale,"AI app deployment software",259000000,2019,"San Francisco",California,"United States",0.75
Runway,"Image and video editing software",237000000,2018,"New York","New York","United States",0.68
"Together AI","AI model development tools",229000000,2022,"San Francisco",California,"United States",0.66
Abridge,"Medical conversation documentation",213000000,2018,Pittsburgh,Pennsylvania,"United States",0.61
Character.AI,"Consumer chatbot app",193000000,2021,"Menlo Park",California,"United States",0.56
Synthesia,"AI avatar and video generator",157000000,2017,London,,"United Kingdom",0.45
Cresta,"Call center agent assistance",152000000,2017,"Palo Alto",California,"United States",0.44
Pinecone,"Database software",138000000,2019,"New York","New York","United States",0.40
Writer,"Enterprise generative AI software",126000000,2020,"San Francisco",California,"United States",0.36
AssemblyAI,"Speech transcription tooling provider",115000000,2017,"San Francisco",California,"United States",0.33
Sierra,"Customer service software",110000000,2023,"San Francisco",California,"United States",0.32
Harvey,"AI models for law firms",106000000,2022,"San Francisco",California,"United States",0.31
Perplexity,"General purpose search app",102000000,2022,"San Francisco",California,"United States",0.29
ElevenLabs,"Voice generation software",101000000,2022,London,,"United Kingdom",0.29
DeepL,"Language translation service",100000000,2017,Cologne,,Germany,0.29
Codeium,"Coding autocompletion app",93000000,2021,"Mountain View",California,"United States",0.27
"Vannevar Labs","Defense intelligence software",87000000,2019,"Palo Alto",California,"United States",0.25
Waabi,"Autonomous trucking technology",84000000,2021,Toronto,Ontario,Canada,0.24
Sana,"Enterprise learning and search",82000000,2016,Stockholm,,Sweden,0.24
Tome,"Presentation creation software",81000000,2020,"San Francisco",California,"United States",0.23
Weaviate,"Database software",68000000,2019,Amsterdam,,Netherlands,0.20
Tractian,"Industrial machine maintenance",65000000,2019,Atlanta,Georgia,"United States",0.19
Unstructured,"AI app development tools",65000000,2022,Sacramento,California,"United States",0.19
Photoroom,"Photo editing app",64000000,2019,Paris,,France,0.18
Replicate,"AI app deployment software",60000000,2019,"San Francisco",California,"United States",0.17
Baseten,"AI app deployment software",60000000,2019,"San Francisco",California,"United States",0.17
Pika,"Video generation service",55000000,2023,"Palo Alto",California,"United States",0.16
Kumo.AI,"Data analytics software",37000000,2021,"Mountain View",California,"United States",0.11
LangChain,"AI app development tools",35000000,2023,"San Francisco",California,"United States",0.10
Cradle,"Protein design for drug discovery",33000000,2021,Amsterdam,,Netherlands,0.10
Leonardo.AI,"Image generation service",31000000,2022,Sydney,,Australia,0.09
Hebbia,"Enterprise search engine",30000000,2020,"New York","New York","United States",0.09
Cleanlab,"Error detection for data",30000000,2021,"San Francisco",California,"United States",0.09
"Rosebud AI","Video game design software",10000000,2019,"San Francisco",California,"United States",0.03
Midjourney,"Image generation service",0,2021,"San Francisco",California,"United States",0.00
